,,,,,,,,,,,,,,(min manatla)
,,,,,,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,O cumlədən
A.    Aktivlər,,,,,,,,,,,,,,
,ani,"1-7 
 8-14","15-30 
 31-60  
 61-90  
 91-120",121-150,151-180,181-210,211-240,241-270,271-300,301-330,"331-365 (366)  
 1-2 il",2-3 il,"3-5 il 
 5 ildən artıq 
 Cəmi 
 sabit faizlə","dəyişkən faizlə 
 faizsiz"
"1. Depozitlər (banklar və digər maliyyə müəssisələri istisna olmaqla),",,,,,,,,,,,,,,
,"6,608,962.74","9,745.41
146,567.98","125,944.16
240,826.60
249,482.11
411,518.17","182,888.51","171,801.14","80,649.58","94,542.00","84,403.64","190,890.49","79,328.91","97,614.71
181,988.77","43,726.92","3,000.50
0.00
9,003,882.34
4,734,620.22","0.00
4,269,262.12"
cəmi,,,,,,,,,,,,,,
a) fiziki şəxslərin tələbli depozitlər,"1,840,160.20",,,,,,,,,,,,"1,840,160.20","1,840,160.20"
b) hüquqi şəxslərin tələbli depozitləri (bütün cari (qeyri-bank maliyyə,,,,,,,,,,,,,,
institutlarının cari hesabları da daxil olmaqla) və çek hesabları  daxil,"4,707,159.07",,,,,,,,,,,,"2,278,057.15
4,707,159.07","2,429,101.92"
olmaqla),,,,,,,,,,,,,,
c) qaytarılma vaxtı bitməmiş fiziki şəxslərin müddətli depozitlər,"7,643.47","6,745.41
28,567.98","65,944.16
93,726.60
124,248.61
121,236.01","132,888.51","113,934.39","58,249.58","33,299.92","69,403.64","66,540.49","76,978.91","87,745.08
181,883.77","43,726.92","1,312,763.45
0.00
0.00
1,312,763.45",
d) qaytarılma vaxtı bitməmiş hüquqi şəxslərin müddətli depozitlər,"54,000.00","3,000.00
118,000.00","60,000.00
147,100.00
125,233.50
290,282.16","50,000.00","57,866.75","22,400.00","61,242.08","15,000.00","124,350.00","2,350.00","9,869.63
105.00",0.00,"1,143,799.62
3,000.50
0.00
1,143,799.62",
2. AMB-nın kreditləri,,,,,,,,,,,,,"491 
                        491 
                        491",-
"3. “Loro"" hesabları (bankların müxbir hesabları)","11,043","-   
                           -","-   
                           -   
                           -   
                           -",-,-,-,-,-,-,-,"-   
                           -",-,"-   
                           -                      11,043 
                           -","-                      11,043"
4. REPO əməliyyatları üzrə,-                               -,"810,877","82,660 
                           -   
                           -   
                           -",-,-,-,-,-,-,-,"-   
                           -",-,"-   
                           -   
                 893,537 
                 893,537","-   
                           -"
5. Banklararası bazarın qazanılmış qısamüddətli maliyyə alətləri (7-ci,,,,,,,,,,,,,,
,,-,"-   
                           -   
                           -   
                           -",-,-,-,-,-,-,-,"-   
                           -",-,"-   
                           -   
                           -   
                           -","-
                        
-"
gün də daxil olmaqla 7 günədək  olanlar),,,,,,,,,,,,,,
6. Bankların və digər maliyyə institutların depozitləri,215,"-                      50,000","13,115 
                           -   
                           -   
                           -",,-                            134,-,,"-                        1,297",-,"-                        1,333",146,"-                      53,299","1,330 
                 120,869 
                 120,869","-   
                           -"
7. Banklardan alınmış kreditlər (7 gündən artıq müddətli olanlar),-,"-                      40,354","-   
                           -   
                           -   
                           -",-,-,-,-,-,-,-,"-   
                           -",-,"-   
                           -                      40,354 
                   40,354","-   
                           -"
"8. Beynəlxalq təşkilatlar daxil olmaqla, digər maliyyə institutlarından",,,,,,,,,,,,,,
,-,"-   
                           -","-                              29 
                        351 
                          47",839,302,2,298,305,634,136,"621 
                   14,264","9,345","12,235 
                459,302 
                 498,709 
                 498,709","-
                        
-"
alınmış kreditlər,,,,,,,,,,,,,,
9. Mərkəzi  idarəetmə orqanlarının kreditləri və depozitləri,,,,,,,,,,,,,"-   
                           -","-
                        
-"
10. Bələdiyyələrin kreditləri və depozitləri,,,,,,,,,,,,,"-   
                           -","-   
                           -"
11. Öz ehtiyatları üçün bank tərəfindən alınmış ipoteka kreditləri,,,,,,,,,,,,,"-   
                           -","-   
                           -"
"12. Ödəmə müddətli imtiyazlı səhmlər daxil olmaqla, bank tərəfindən",,,,,,,,,,,,,,
buraxılmış subordinasiyalı borc və sair bu qəbildən olan borc,-,"-   
                           -","-   
                           -                      50,000 
                   50,000",-,-,-,-,-,-,-,-,"-                      17,000","-                    289,000 
                 406,000 
                 406,000","-   
                           -"
öhdəlikləri,,,,,,,,,,,,,,
13. Digər passivlər,"465,854",,,,,,,,,,,,"465,854 
                           -","-                    465,854"
14. Kapital,-,"-   
                           -","-   
                           -   
                           -   
                           -",-,-,-,-,-,-,-,"-   
                           -",-,"-                 1,007,365 
              1,007,365 
                           -","-                 1,007,365"
15. Cəmi passivlər (öhdəliklər üstəgəl kapital),"7,086,074","9,745 
              1,047,799","221,719 
                 240,856 
                 299,833 
                 461,565","183,727","172,237","80,652","94,840","86,005","191,525","79,465","99,569 
                 196,399","70,072","68,534 
             1,757,488 
           12,448,104 
              6,694,580","-                 4,746,158"
16.  Hər bir dövr üçün maliyyə aktivlərinin (passivlərinin) xalis məbləği,"(5,290,686)","311,229 
               (499,903)","344,281 
                 (55,214)
                 (47,492)
               (151,552)","6,026","18,759","83,897","84,572","42,545","181,370","56,334","93,310 
              2,590,860","875,764","518,508 
                837,394 
                           -                 1,848,843","-                  (511,325)"
,0-3 ay,"3-6 ay 
 6-9 ay","9-12 ay 
 1-2 il 
 2-3 il 
 3-5 il",5 ildən artıq,Cəmi,,,,,,,,,
Faiz dərəcəsinə həssas cəmi aktivlər,"1,682,161","690,762 
                 472,510","701,573 
              2,787,259 
                 945,836 
                 587,043","676,280","8,543,423",,,,,,,,,
Faiz dərəcəsinə həssas cəmi öhdəliklər,"4,159,868","817,529 
                 261,497","370,559 
                 196,399 
                   70,072 
                   68,534","750,122","6,694,580",,,,,,,,,
Qəp,"(2,477,707)","(126,767)
                 211,013","331,013 
              2,590,860 
                 875,764 
                 518,508","(73,842)",,,,,,,,,,
Kumulyativ qəp,"673,318","(2,604,474)
            (2,393,461)","(2,062,448)
                 528,412 
              1,404,177 
              1,922,685","1,848,843",,,,,,,,,,
